epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,106.359,3.49028,4.51122,1.89906,0,0,0,0,3.31252,4.69674,1.8521,0.000173376,0.000173376,0.000173376
18,112.07,3.3076,4.38162,1.84938,0,0,0,0,3.22961,4.63184,1.75764,0.000178554,0.000178554,0.000178554
19,119.363,3.08865,4.19127,1.6407,0,0,0,0,3.22961,4.63184,1.75764,0.000183124,0.000183124,0.000183124
20,124.834,3.26183,4.2783,1.76016,0,0,0,0,3.22961,4.63184,1.75764,0.000187084,0.000187084,0.000187084
21,130.697,3.24038,4.25642,1.70059,0,0,0,0,2.92979,4.51884,1.58845,0.000190435,0.000190435,0.000190435
22,136.438,3.21288,4.09058,1.70907,0,0,0,0,2.92979,4.51884,1.58845,0.000193177,0.000193177,0.000193177
23,142.173,3.68473,4.61814,1.91283,0,0,0,0,2.92979,4.51884,1.58845,0.000195311,0.000195311,0.000195311
24,147.946,3.46708,4.10787,1.60978,0,0,0,0,2.92979,4.51884,1.58845,0.000196835,0.000196835,0.000196835
25,153.388,3.43326,4.18904,1.75216,0,0,0,0,2.84812,4.32608,1.5394,0.00019775,0.00019775,0.00019775
26,159.044,3.6221,4.2672,1.87137,0,0,0,0,2.84812,4.32608,1.5394,0.000198056,0.000198056,0.000198056
27,164.653,3.18781,3.90414,1.56903,0,0,0,0,2.84812,4.32608,1.5394,0.000197753,0.000197753,0.000197753
28,171.584,3.20928,4.00817,1.70717,0,0,0,0,2.84812,4.32608,1.5394,0.000196841,0.000196841,0.000196841
29,177.93,3.25315,3.94062,1.55372,0,0,0,0,2.84812,4.32608,1.5394,0.00019532,0.00019532,0.00019532
30,183.967,3.569,4.21921,1.77351,0.03333,0.18519,0.09807,0.02417,2.87152,4.06514,1.4856,0.00019319,0.00019319,0.00019319
31,189.47,3.4478,4.2067,1.8816,0.03333,0.18519,0.09807,0.02417,2.87152,4.06514,1.4856,0.000190451,0.000190451,0.000190451
32,194.979,3.40254,3.64057,1.57603,0.03333,0.18519,0.09807,0.02417,2.87152,4.06514,1.4856,0.000187102,0.000187102,0.000187102
33,200.829,3.56565,3.97879,1.69796,0.03333,0.18519,0.09807,0.02417,2.87152,4.06514,1.4856,0.000183145,0.000183145,0.000183145
34,206.6,3.25943,3.76368,1.67427,0.03333,0.18519,0.09807,0.02417,2.87152,4.06514,1.4856,0.000178579,0.000178579,0.000178579
35,212.328,3.32094,4.1311,1.74189,0.03333,0.18519,0.09807,0.02417,2.87152,4.06514,1.4856,0.000173403,0.000173403,0.000173403
36,217.72,3.13768,4.01346,1.68741,0.02926,0.25463,0.10704,0.03284,2.88179,3.78915,1.45396,0.000167619,0.000167619,0.000167619
37,223.197,3.20356,3.62394,1.77,0.02926,0.25463,0.10704,0.03284,2.88179,3.78915,1.45396,0.000161225,0.000161225,0.000161225
38,228.921,3.00301,3.73736,1.73196,0.02926,0.25463,0.10704,0.03284,2.88179,3.78915,1.45396,0.000154223,0.000154223,0.000154223
39,234.282,3.18676,3.72879,1.70842,0.02926,0.25463,0.10704,0.03284,2.88179,3.78915,1.45396,0.000146611,0.000146611,0.000146611
40,239.775,3.22273,4.31456,1.76309,0.02926,0.25463,0.10704,0.03284,2.88179,3.78915,1.45396,0.000138391,0.000138391,0.000138391
41,245.258,3.37479,4.04324,1.57861,0.02926,0.25463,0.10704,0.03284,2.88179,3.78915,1.45396,0.000129561,0.000129561,0.000129561
42,250.744,3.27455,3.9455,1.53121,0.02926,0.25463,0.10704,0.03284,2.88179,3.78915,1.45396,0.000120122,0.000120122,0.000120122
43,256.312,3.33938,4.39,1.50349,0.3757,0.24074,0.11501,0.03671,2.86136,3.57544,1.43641,0.000110075,0.000110075,0.000110075
44,262.232,3.38231,4.2446,1.76419,0.3757,0.24074,0.11501,0.03671,2.86136,3.57544,1.43641,9.94179e-05,9.94179e-05,9.94179e-05
45,267.423,3.4113,3.75459,1.62309,0.3757,0.24074,0.11501,0.03671,2.86136,3.57544,1.43641,8.8152e-05,8.8152e-05,8.8152e-05
46,272.748,3.29382,4.12225,1.79895,0.3757,0.24074,0.11501,0.03671,2.86136,3.57544,1.43641,7.62771e-05,7.62771e-05,7.62771e-05
47,277.797,3.37579,4.03067,1.53223,0.3757,0.24074,0.11501,0.03671,2.86136,3.57544,1.43641,6.37932e-05,6.37932e-05,6.37932e-05
48,282.869,3.17986,3.65112,1.66212,0.3757,0.24074,0.11501,0.03671,2.86136,3.57544,1.43641,5.07002e-05,5.07002e-05,5.07002e-05
49,288.243,2.9295,3.89104,1.66018,0.3757,0.24074,0.11501,0.03671,2.86136,3.57544,1.43641,3.69981e-05,3.69981e-05,3.69981e-05
50,293.588,3.15624,3.6855,1.55233,0.3757,0.24074,0.11501,0.03671,2.86136,3.57544,1.43641,2.2687e-05,2.2687e-05,2.2687e-05
